"","X_id","dataCollectionDate","beachName","windSpeed","windDirection","airTemp","rain","rainAmount","waterTemp","waterFowl","waveAction","waterClarity","turbidity"
"23",23,"2010-06-13","Hanlan's Point Beach",5,"SE",20,"N/A",NA,15.1,44,"LOW","Cloudy",NA
"24",24,"2010-06-14","Hanlan's Point Beach",7,"W",22,"No",NA,16.1,6,"LOW","Clear",0.9
"25",25,"2010-06-15","Hanlan's Point Beach",11,"NE",22,"No",NA,16.2,10,"LOW","Clear",0.9
"26",26,"2010-06-16","Hanlan's Point Beach",26,"E",16,"Yes",15,17.5,36,"LOW","Cloudy",1
"27",27,"2010-06-17","Hanlan's Point Beach",NA,"NW",25,"Yes",NA,8.8,45,"LOW","Clear",2.5
"28",28,"2010-06-18","Hanlan's Point Beach",11,"W",25,"No",NA,16.3,15,"LOW","Clear",1.5
"29",29,"2010-06-19","Hanlan's Point Beach",11,"E",19,"No",NA,17.2,12,"MOD","Cloudy",1.8
"30",30,"2010-06-20","Hanlan's Point Beach",17,"NW",23,"No",NA,17.11,62,"MOD","Clear",0.8
"31",31,"2010-06-21","Hanlan's Point Beach",9,"NW",22,"No",NA,16.3,42,"LOW","Clear",0.7
"32",32,"2010-06-22","Hanlan's Point Beach",15,"E",22,"Yes",19,17.1,17,"MOD","Clear",0.7
"33",33,"2010-06-23","Hanlan's Point Beach",6,"SW",20,"Yes",NA,17.5,25,"LOW","Clear",0.7
"34",34,"2010-06-24","Hanlan's Point Beach",7,"W",20,"No",4,19.3,12,"HIGH","Cloudy",4.5
"35",35,"2010-06-25","Hanlan's Point Beach",NA,"None",NA,"Yes",NA,15.9,5,"MOD","Clear",0.8
"36",36,"2010-06-26","Hanlan's Point Beach",4,"None",24,"Yes",7,18.2,30,"MOD","Clear",3.8
"37",37,"2010-06-27","Hanlan's Point Beach",5,"None",22,"Yes",45,16.1,3,"LOW","Clear",1.7
"38",38,"2010-06-28","Hanlan's Point Beach",9,"SW",21,"No",0,17.9,60,"MOD","Cloudy",0.8
"39",39,"2010-06-29","Hanlan's Point Beach",24,"W",16,"Yes",NA,13.5,12,"HIGH","Cloudy",6.2
"40",40,"2010-06-30","Hanlan's Point Beach",24,"NW",20,"No",NA,9,8,"HIGH","Cloudy",1.2
"41",41,"2010-07-01","Hanlan's Point Beach",22,"NW",21,"N/A",NA,7.6,24,"LOW","clear",1.4
"42",42,"2010-07-02","Hanlan's Point Beach",5,"SW",24,"No",NA,10.2,7,"LOW","cloudy",2.2
"43",43,"2010-07-03","Hanlan's Point Beach",9,"W",18,"No",NA,12.8,53,"MOD","cloudy",2.1
"44",44,"2010-07-04","Hanlan's Point Beach",6,"SW",27,"No",NA,12.6,12,"LOW","clear",1.3
"45",45,"2010-07-05","Hanlan's Point Beach",NA,"NE",35,"N/A",NA,17.1,NA,"MOD","semi-clear",2.4
"46",46,"2010-07-06","Hanlan's Point Beach",15,"None",34,"N/A",NA,17,40,"LOW","clear",1.2
"47",47,"2010-07-07","Hanlan's Point Beach",5,"SW",38,"No",NA,16.5,40,"LOW","clear",1.1
"48",48,"2010-07-08","Hanlan's Point Beach",4,"SW",20,"No",NA,18.5,10,"LOW","clear",1.1
"49",49,"2010-07-09","Hanlan's Point Beach",7,"SW",21,"Yes",30,18.5,NA,"NONE","clear",0.4
"50",50,"2010-07-10","Hanlan's Point Beach",5,"None",29,"Yes",NA,16.12,NA,"LOW","clear",0.4
"51",51,"2010-07-11","Hanlan's Point Beach",5,"S",21,"No",NA,18,7,"LOW","clear",0.4
"52",52,"2010-07-12","Hanlan's Point Beach",5,"None",21,"Yes",NA,20.4,15,"LOW","clear",0.5
"53",53,"2010-07-13","Hanlan's Point Beach",5,"SE",23,"N/A",NA,21.5,5,"LOW","clear",0.3
"54",54,"2010-07-14","Hanlan's Point Beach",15,"None",21,"No",NA,21.4,10,"LOW","clear",0.4
"55",55,"2010-07-15","Hanlan's Point Beach",4,"SE",29,"No",NA,23.2,7,"NONE","clear",0.2
"56",56,"2010-07-16","Hanlan's Point Beach",27,"W",27,"No",1,23.6,140,"MOD","cloudy",0.9
"57",57,"2010-07-17","Hanlan's Point Beach",26,"S",25,"No",NA,18.7,50,"MOD","clear",2.7
"58",58,"2010-07-18","Hanlan's Point Beach",9,"None",18,"No",NA,15.2,10,"MOD","clear",2.5
"59",59,"2010-07-19","Hanlan's Point Beach",10,"W",27,"Yes",1,19,5,"MOD","clear",1.4
"60",60,"2010-07-20","Hanlan's Point Beach",5,"SE",27,"Yes",NA,17.4,24,"LOW","clear",0.1
"61",61,"2010-07-21","Hanlan's Point Beach",15,"SW",29,"No",NA,20,40,"MOD","clear",NA
"62",62,"2010-07-22","Hanlan's Point Beach",9,"SW",29,"No",NA,15.9,130,"LOW","clear",0.2
"63",63,"2010-07-23","Hanlan's Point Beach",NA,"None",20,"Yes",36,17.5,56,"LOW","clear",1.4
"64",64,"2010-07-24","Hanlan's Point Beach",20,"None",26,"Yes",13,18.6,30,"MOD","cloudy",2.1
"65",65,"2010-07-25","Hanlan's Point Beach",5,"SW",25,"Yes",NA,17.4,30,"LOW","cloudy",1.5
"66",66,"2010-07-26","Hanlan's Point Beach",15,"W",25,"No",NA,17.9,25,"LOW","clear",0.6
"67",67,"2010-07-27","Hanlan's Point Beach",15,"W",25,"No",NA,19,5,"LOW","clear",1.1
"68",68,"2010-07-28","Hanlan's Point Beach",17,"W",21,"Yes",2,20.2,100,"MOD","cloudy",1
"69",69,"2010-07-29","Hanlan's Point Beach",11,"NW",25,"Yes",3,11.1,60,"LOW","None",0.1
"70",70,"2010-07-30","Hanlan's Point Beach",11,"NW",23,"No",NA,16.3,36,"LOW","clear",1.2
"71",71,"2010-07-31","Hanlan's Point Beach",8,"NW",14,"No",NA,18.9,25,"LOW","None",0.9
"72",72,"2010-08-01","Hanlan's Point Beach",8,"NE",18,"Yes",0,18.7,15,"MOD","Clear",1.3
"73",73,"2010-08-02","Hanlan's Point Beach",4,"N",19,"No",NA,19.7,50,"LOW","clear",1.1
"74",74,"2010-05-24","Gibraltar Point Beach",NA,"None",NA,"N/A",NA,NA,NA,"None","None",NA
"75",75,"2010-05-25","Gibraltar Point Beach",NA,"None",26,"No",NA,14,4,"NONE","Clear",0.1
"76",76,"2010-05-26","Gibraltar Point Beach",NA,"SW",31,"No",NA,15,12,"LOW","Cloudy Green",4.2
"77",77,"2010-05-27","Gibraltar Point Beach",NA,"None",27,"No",NA,NA,NA,"None","None",NA
"78",78,"2010-05-28","Gibraltar Point Beach",NA,"None",22,"No",NA,13.3,3,"LOW","Clear",5.3
"79",79,"2010-05-29","Gibraltar Point Beach",NA,"None",NA,"No",NA,16,NA,"LOW","Clear",5.6
"80",80,"2010-05-30","Gibraltar Point Beach",NA,"None",NA,"No",NA,17,6,"LOW","Clear",5.6
"81",81,"2010-05-31","Gibraltar Point Beach",NA,"None",22,"No",2,17.2,3,"MOD","Clear",4.2
"82",82,"2010-06-01","Gibraltar Point Beach",NA,"W",20,"Yes",6,17.4,4,"LOW","Clear",1.5
"83",83,"2010-06-02","Gibraltar Point Beach",NA,"S",22,"No",21,18.2,9,"MOD","Clear",1.8
"84",84,"2010-06-03","Gibraltar Point Beach",NA,"SE",17,"Yes",3,17.2,10,"MOD","Cloudy",1.6
"85",85,"2010-06-04","Gibraltar Point Beach",10,"None",22,"Yes",2,17.8,10,"LOW","Clear, green",2.5
"86",86,"2010-06-05","Gibraltar Point Beach",NA,"W",24,"Yes",2,18.5,NA,"MOD","Cloudy",1.7
"87",87,"2010-06-06","Gibraltar Point Beach",20,"N",12,"Yes",20,NA,NA,"None","None",NA
"88",88,"2010-06-07","Gibraltar Point Beach",17,"NW",20,"Yes",NA,14.9,13,"MOD","Clear",2.1
"89",89,"2010-06-08","Gibraltar Point Beach",17,"NW",14,"No",NA,14,2,"LOW","Clear",2
"90",90,"2010-06-09","Gibraltar Point Beach",NA,"None",13,"Yes",4,15.4,50,"HIGH","Clear",2.5
"91",91,"2010-06-10","Gibraltar Point Beach",13,"NW",16,"Yes",NA,15.25,10,"LOW","Clear",3.1
"92",92,"2010-06-11","Gibraltar Point Beach",NA,"None",16,"No",NA,16,NA,"NONE","Clear",2.2
"93",93,"2010-06-12","Gibraltar Point Beach",NA,"None",17,"No",4,NA,NA,"None","None",NA
"94",94,"2010-06-13","Gibraltar Point Beach",5,"SE",20,"N/A",NA,15.3,10,"LOW","Cloudy",NA
"95",95,"2010-06-14","Gibraltar Point Beach",7,"W",22,"No",NA,16.2,9,"LOW","Clear",1.7
"96",96,"2010-06-15","Gibraltar Point Beach",11,"NE",22,"No",NA,16.2,6,"MOD","Clear",1.3
"97",97,"2010-06-16","Gibraltar Point Beach",26,"E",16,"Yes",15,17.78,4,"HIGH","Clear",2.2
"98",98,"2010-06-17","Gibraltar Point Beach",NA,"NW",25,"Yes",NA,13.7,50,"LOW","Clear",1.1
"99",99,"2010-06-18","Gibraltar Point Beach",11,"W",25,"No",NA,16,10,"LOW","Clear",1.4
"100",100,"2010-06-19","Gibraltar Point Beach",11,"E",19,"No",NA,17.6,6,"MOD","Cloudy",1.9
"101",101,"2010-06-20","Gibraltar Point Beach",17,"NW",23,"No",NA,16.94,12,"LOW","Clear",1
"102",102,"2010-06-21","Gibraltar Point Beach",9,"NW",22,"No",NA,17.4,15,"LOW","Clear",0.9
"103",103,"2010-06-22","Gibraltar Point Beach",15,"E",22,"Yes",19,18.4,8,"MOD","Clear",1.3
"104",104,"2010-06-23","Gibraltar Point Beach",6,"SW",20,"Yes",NA,17.6,15,"LOW","Clear",0.7
"105",105,"2010-06-24","Gibraltar Point Beach",7,"W",20,"No",4,19.2,3,"HIGH","Cloudy",1.9
"106",106,"2010-06-25","Gibraltar Point Beach",NA,"None",NA,"Yes",NA,16.2,15,"LOW","Cloudy",0.8
"107",107,"2010-06-26","Gibraltar Point Beach",4,"None",24,"Yes",7,18.1,25,"MOD","Cloudy",4.5
"108",108,"2010-06-27","Gibraltar Point Beach",5,"None",22,"Yes",45,18,75,"LOW","Clear",1
"109",109,"2010-06-28","Gibraltar Point Beach",9,"SW",21,"No",0,18.1,3,"MOD","Cloudy",0.9
"110",110,"2010-08-04","Marie Curtis Park East Beach",15,"SW",38,"No",NA,22.4,80,"MOD","Cloudy",2.8
"111",111,"2010-08-04","Sunnyside Beach",15,"SW",38,"No",NA,22.9,40,"LOW","Cloudy",1.5
"112",112,"2010-08-04","Hanlan's Point Beach",15,"SW",38,"No",NA,21.8,30,"HIGH","Clear/Cloudy",0.9
"113",113,"2010-08-04","Gibraltar Point Beach",15,"SW",38,"No",NA,22,5,"HIGH","Clear/Cloudy",0.5
"114",114,"2010-08-04","Centre Island Beach",15,"SW",38,"No",NA,21.4,20,"HIGH","Clear/Cloudy",4.5
"115",115,"2010-08-04","Ward's Island Beach",15,"SW",38,"No",NA,21.1,3,"HIGH","Cloudy",2.7
"116",116,"2010-08-04","Cherry Beach",19,"SW",29,"No",NA,21.6,50,"LOW","Clear",3.4
"117",117,"2010-08-04","Woodbine Beaches",19,"SW",29,"No",NA,21.5,200,"LOW","Clear",1.6
"118",118,"2010-08-04","Kew Balmy Beach",19,"SW",29,"No",NA,21.9,65,"MOD","Semiclear",2.4
"119",119,"2010-08-04","Bluffer's Beach Park",19,"SW",29,"No",NA,21.1,80,"LOW","Clear",1.4
"120",120,"2010-08-05","Marie Curtis Park East Beach",10,"SW",23,"No",NA,22,120,"LOW","Clear",0.3
"121",121,"2010-08-05","Sunnyside Beach",10,"SW",23,"No",NA,23,80,"NONE","Clear",1.8
"122",122,"2010-08-05","Hanlan's Point Beach",10,"SW",23,"No",NA,22,75,"LOW","Clear",0.2
"123",123,"2010-08-05","Gibraltar Point Beach",10,"SW",23,"No",NA,22,3,"LOW","Clear",0.5
"124",124,"2010-08-05","Centre Island Beach",10,"SW",23,"No",NA,22,300,"LOW","Clear",0.6
"125",125,"2010-08-05","Ward's Island Beach",10,"SW",23,"No",NA,23,6,"LOW","Clear",0.6
"126",126,"2010-08-05","Cherry Beach",10,"SW",22,"No",NA,24,45,"LOW","Clear",1.4
"127",127,"2010-08-05","Woodbine Beaches",10,"SW",22,"No",NA,21,100,"LOW","Greenish clear",1.2
"128",128,"2010-08-05","Kew Balmy Beach",10,"SW",22,"No",NA,21,30,"LOW","Clear",1.3
"129",129,"2010-08-05","Bluffer's Beach Park",10,"SW",22,"No",NA,22,70,"LOW","Clear",1.5
"130",130,"2010-08-06","Marie Curtis Park East Beach",13,"W",19,"No",NA,16.6,115,"NONE","Clear",0.6
"131",131,"2010-08-06","Sunnyside Beach",13,"W",19,"No",NA,17.1,65,"NONE","Clear",0.2
"132",132,"2010-08-06","Hanlan's Point Beach",13,"W",19,"No",NA,13.9,200,"LOW","Clear",0.3
"133",133,"2010-08-06","Gibraltar Point Beach",13,"W",19,"No",NA,15.9,NA,"LOW","Clear",0.7
"134",134,"2010-08-06","Centre Island Beach",13,"W",19,"No",NA,17,160,"LOW","Clear and Greenish",0.6
"135",135,"2010-08-06","Ward's Island Beach",13,"W",19,"No",NA,18.4,24,"NONE","Clear and Greenish",0.5
"136",136,"2010-08-06","Cherry Beach",15,"W",25,"No",NA,19.8,1,"LOW","Clear and Green",0.3
"137",137,"2010-08-06","Woodbine Beaches",15,"W",25,"No",NA,18,50,"LOW","Clear with algae",20
"138",138,"2010-08-06","Kew Balmy Beach",15,"W",25,"No",NA,19,60,"LOW","Clear",0.5
"139",139,"2010-08-06","Bluffer's Beach Park",15,"W",25,"No",NA,22,55,"LOW","Clear",2.2
"140",140,"2010-06-29","Gibraltar Point Beach",24,"W",16,"Yes",NA,12.8,3,"HIGH","Cloudy",2.2
"141",141,"2010-05-29","Ward's Island Beach",NA,"None",NA,"No",NA,16.3,50,"LOW","Semi-Clear",5.4
"142",142,"2010-05-30","Ward's Island Beach",NA,"None",NA,"No",NA,17,24,"LOW","Clear",4.4
"143",143,"2010-05-31","Ward's Island Beach",NA,"None",22,"No",2,18,16,"LOW","Clear",4.2
"144",144,"2010-06-01","Ward's Island Beach",NA,"W",20,"Yes",6,18.7,26,"NONE","Clear",2.2
"145",145,"2010-06-02","Ward's Island Beach",NA,"S",22,"No",21,19,8,"MOD","Clear, Algae",2.3
"146",146,"2010-06-03","Ward's Island Beach",NA,"SE",17,"Yes",3,18.3,10,"LOW","Cloudy",1.1
"147",147,"2010-06-04","Ward's Island Beach",10,"None",22,"Yes",2,18.6,20,"LOW","Murky, green",4.8
"148",148,"2010-06-05","Ward's Island Beach",NA,"W",24,"Yes",2,18.7,28,"MOD","Cloudy",1.8
"149",149,"2010-06-06","Ward's Island Beach",20,"N",12,"Yes",20,NA,NA,"None","None",NA
"150",150,"2010-06-07","Ward's Island Beach",17,"NW",20,"Yes",NA,15.9,18,"LOW","Clear, feathers",2
"151",151,"2010-06-08","Ward's Island Beach",17,"NW",14,"No",NA,16.2,32,"LOW","Clear",2
"152",152,"2010-06-09","Ward's Island Beach",NA,"None",13,"Yes",4,15.9,40,"MOD","Clear",1.9
"153",153,"2010-06-10","Ward's Island Beach",13,"NW",16,"Yes",NA,15.5,60,"LOW","Feathers",14.5
"154",154,"2010-06-11","Ward's Island Beach",NA,"None",16,"No",NA,16.6,15,"NONE","Clear",1.7
"155",155,"2010-06-12","Ward's Island Beach",NA,"None",17,"No",4,NA,NA,"None","None",NA
"156",156,"2010-06-13","Ward's Island Beach",5,"SE",20,"N/A",NA,15.2,100,"LOW","Cloudy",NA
"157",157,"2010-06-14","Ward's Island Beach",7,"W",22,"No",NA,16.5,130,"LOW","Cloudy",1.6
"158",158,"2010-06-15","Ward's Island Beach",11,"NE",22,"No",NA,17.3,60,"MOD","Clear",1.2
"159",159,"2010-06-16","Ward's Island Beach",26,"E",16,"Yes",15,16.83,130,"LOW","Cloudy",1.1
"160",160,"2010-06-17","Ward's Island Beach",NA,"NW",25,"Yes",NA,14.9,30,"LOW","Clear",2.1
"161",161,"2010-06-18","Ward's Island Beach",11,"W",25,"No",NA,18,3,"LOW","Clear",1.9
"162",162,"2010-06-19","Ward's Island Beach",11,"E",19,"No",NA,18.6,8,"MOD","Cloudy",2.1
"163",163,"2010-06-20","Ward's Island Beach",17,"NW",23,"No",NA,18.56,40,"LOW","Cloudy",1.4
"164",164,"2010-06-21","Ward's Island Beach",9,"NW",22,"No",NA,18.4,50,"LOW","Cloudy",1.8
"165",165,"2010-06-22","Ward's Island Beach",15,"E",22,"Yes",19,18.8,12,"LOW","Clear",1.5
"166",166,"2010-06-23","Ward's Island Beach",6,"SW",20,"Yes",NA,18.17,60,"LOW","Clear",1
"167",167,"2010-06-24","Ward's Island Beach",7,"W",20,"No",4,19.3,82,"MOD","Cloudy",1.2
"168",168,"2010-06-25","Ward's Island Beach",NA,"None",NA,"Yes",NA,17.5,220,"LOW","Cloudy",6.7
"169",169,"2010-06-26","Ward's Island Beach",4,"None",24,"Yes",7,18.9,75,"MOD","Clear",2.1
"170",170,"2010-06-27","Ward's Island Beach",5,"None",22,"Yes",45,18.8,60,"LOW","Cloudy",8.4
"171",171,"2010-06-28","Ward's Island Beach",9,"SW",21,"No",0,18.3,200,"HIGH","Cloudy",1.6
"172",172,"2010-06-29","Ward's Island Beach",24,"W",16,"Yes",NA,13.2,105,"HIGH","Cloudy",1.8
"173",173,"2010-06-30","Ward's Island Beach",24,"NW",20,"No",NA,15,200,"HIGH","Murky/Greyish",6.2
"174",174,"2010-07-01","Ward's Island Beach",22,"NW",21,"N/A",NA,13.4,120,"LOW","cloudy",4
"175",175,"2010-07-02","Ward's Island Beach",5,"SW",24,"No",NA,12.3,40,"LOW","cloudy",7.8
"176",176,"2010-07-03","Ward's Island Beach",9,"W",18,"No",NA,14.6,27,"LOW","very cloudy",3
"177",177,"2010-07-04","Ward's Island Beach",6,"SW",27,"No",NA,16.2,1000,"LOW","cloudy",2.2
"178",178,"2010-07-05","Ward's Island Beach",NA,"NE",35,"N/A",NA,18.7,4,"LOW","semi-clear",2.1
"179",179,"2010-07-06","Ward's Island Beach",15,"None",34,"N/A",NA,18.6,110,"LOW","semi-clear",1.9
"180",180,"2010-07-07","Ward's Island Beach",5,"SW",38,"No",NA,19.6,85,"LOW","clear",1.7
"181",181,"2010-07-08","Ward's Island Beach",4,"SW",20,"No",NA,21.6,30,"NONE","clear",1.5
"182",182,"2010-07-09","Ward's Island Beach",7,"SW",21,"Yes",30,18.9,220,"NONE","clear",0.8
"183",183,"2010-07-10","Ward's Island Beach",5,"None",29,"Yes",NA,16.2,60,"LOW","cloudy",1.5
"184",184,"2010-07-11","Ward's Island Beach",5,"S",21,"No",NA,19.5,60,"LOW","semi clear",1.8
"185",185,"2010-07-12","Ward's Island Beach",5,"None",21,"Yes",NA,21.4,40,"LOW","clear",1.1
"186",186,"2010-07-13","Ward's Island Beach",5,"SE",23,"N/A",NA,22.1,NA,"LOW","clear",0.7
"187",187,"2010-07-14","Ward's Island Beach",15,"None",21,"No",NA,22.2,60,"LOW","clear",0.8
"188",188,"2010-07-15","Ward's Island Beach",4,"SE",29,"No",NA,24.1,95,"NONE","clear + algae",0.4
"189",189,"2010-07-16","Ward's Island Beach",27,"W",27,"No",1,23.6,36,"LOW","clear",0.4
"190",190,"2010-07-17","Ward's Island Beach",26,"S",25,"No",NA,21.8,25,"LOW","clear",3.7
"191",191,"2010-07-18","Ward's Island Beach",9,"None",18,"No",NA,18.4,40,"MOD","clear",1.4
"192",192,"2010-07-19","Ward's Island Beach",10,"W",27,"Yes",1,20,29,"LOW","clear",0.6
"193",193,"2010-07-20","Ward's Island Beach",5,"SE",27,"Yes",NA,17.5,9,"LOW","clear",0.6
"194",194,"2010-07-21","Ward's Island Beach",15,"SW",29,"No",NA,19.9,20,"LOW","semi-clear",0.6
"195",195,"2010-07-22","Ward's Island Beach",9,"SW",29,"No",NA,17.7,36,"LOW","clear",0.4
"196",196,"2010-07-23","Ward's Island Beach",NA,"None",20,"Yes",36,19.3,9,"MOD","clear",1
"197",197,"2010-07-24","Ward's Island Beach",20,"None",26,"Yes",13,18.9,10,"MOD","cloudy",0.8
"198",198,"2010-07-25","Ward's Island Beach",5,"SW",25,"Yes",NA,19.6,2,"LOW","cloudy",1.8
"199",199,"2010-07-26","Ward's Island Beach",15,"W",25,"No",NA,18.7,NA,"LOW","clear",1.2
"200",200,"2010-07-27","Ward's Island Beach",15,"W",25,"No",NA,20,20,"LOW","clear",2.1
"201",201,"2010-07-28","Ward's Island Beach",17,"W",21,"Yes",2,21,NA,"MOD","cloudy",2.1
"202",202,"2010-07-29","Ward's Island Beach",11,"NW",25,"Yes",3,16.2,NA,"LOW","None",1.7
"203",203,"2010-07-30","Ward's Island Beach",11,"NW",23,"No",NA,17.3,1,"LOW","clear",2
"204",204,"2010-07-31","Ward's Island Beach",8,"NW",14,"No",NA,17.3,NA,"LOW","None",1.4
"205",205,"2010-08-01","Ward's Island Beach",8,"NE",18,"Yes",0,18.8,NA,"MOD","Murky",0.6
"206",206,"2010-08-02","Ward's Island Beach",4,"N",19,"No",NA,19.6,15,"LOW","clear",0.5
"207",207,"2010-06-30","Gibraltar Point Beach",24,"NW",20,"No",NA,11,10,"HIGH","Cloudy",3.1
"208",208,"2010-07-01","Gibraltar Point Beach",22,"NW",21,"N/A",NA,12.4,6,"LOW","cloudy/murky",2.1
"209",209,"2010-07-02","Gibraltar Point Beach",5,"SW",24,"No",NA,12.1,8,"LOW","cloudy",3.2
"210",210,"2010-07-03","Gibraltar Point Beach",9,"W",18,"No",NA,12.8,13,"LOW","cloudy",2.8
"211",211,"2010-07-04","Gibraltar Point Beach",6,"SW",27,"No",NA,15,NA,"LOW","clear",11.1
"212",212,"2010-07-05","Gibraltar Point Beach",NA,"NE",35,"N/A",NA,17.6,NA,"LOW","semi-clear",2.3
"213",213,"2010-07-06","Gibraltar Point Beach",15,"None",34,"N/A",NA,15.8,32,"LOW","clear",1.5
"214",214,"2010-07-07","Gibraltar Point Beach",5,"SW",38,"No",NA,16.2,15,"LOW","clear",1.8
"215",215,"2010-07-08","Gibraltar Point Beach",4,"SW",20,"No",NA,17.5,5,"LOW","clear",1.2
"216",216,"2010-07-09","Gibraltar Point Beach",7,"SW",21,"Yes",30,18.5,3,"NONE","clear",0.5
"217",217,"2010-07-10","Gibraltar Point Beach",5,"None",29,"Yes",NA,16.2,60,"LOW","clear",1.1
"218",218,"2010-07-11","Gibraltar Point Beach",5,"S",21,"No",NA,17,8,"LOW","clear",0.8
"219",219,"2010-07-12","Gibraltar Point Beach",5,"None",21,"Yes",NA,20.5,10,"LOW","clear",0.5
"220",220,"2010-07-13","Gibraltar Point Beach",5,"SE",23,"N/A",NA,21.5,NA,"LOW","clear",1.5
"221",221,"2010-07-14","Gibraltar Point Beach",15,"None",21,"No",NA,21.8,5,"LOW","clear",1
"222",222,"2010-07-15","Gibraltar Point Beach",4,"SE",29,"No",NA,23.3,12,"NONE","clear",0.3
"223",223,"2010-07-16","Gibraltar Point Beach",27,"W",27,"No",1,23.7,NA,"MOD","cloudy",2.1
"224",224,"2010-07-17","Gibraltar Point Beach",26,"S",25,"No",NA,19.8,20,"MOD","clear",3.8
"225",225,"2010-07-18","Gibraltar Point Beach",9,"None",18,"No",NA,15.9,NA,"MOD","cloudy",4.8
"226",226,"2010-07-19","Gibraltar Point Beach",10,"W",27,"Yes",1,20.5,6,"MOD","clear",0.6
"227",227,"2010-07-20","Gibraltar Point Beach",5,"SE",27,"Yes",NA,16.5,24,"LOW","clear",0.5
"228",228,"2010-07-21","Gibraltar Point Beach",15,"SW",29,"No",NA,19.7,NA,"LOW","clear",0.1
"229",229,"2010-07-22","Gibraltar Point Beach",9,"SW",29,"No",NA,16.4,6,"LOW","clear",0.6
"230",230,"2010-07-23","Gibraltar Point Beach",NA,"None",20,"Yes",36,17.9,NA,"LOW","clear",1.5
"231",231,"2010-07-24","Gibraltar Point Beach",20,"None",26,"Yes",13,17.9,4,"MOD","cloudy",0.4
"232",232,"2010-07-25","Gibraltar Point Beach",5,"SW",25,"Yes",NA,17.4,17,"LOW","cloudy",0.5
"233",233,"2010-07-26","Gibraltar Point Beach",15,"W",25,"No",NA,18.2,20,"LOW","clear",0.6
"234",234,"2010-07-27","Gibraltar Point Beach",15,"W",25,"No",NA,18.8,4,"LOW","clear",1.3
"235",235,"2010-07-28","Gibraltar Point Beach",17,"W",21,"Yes",2,19.9,25,"MOD","cloudy",1.4
"236",236,"2010-07-29","Gibraltar Point Beach",11,"NW",25,"Yes",3,17.2,5,"LOW","None",1.2
"237",237,"2010-07-30","Gibraltar Point Beach",11,"NW",23,"No",NA,16.4,NA,"LOW","clear",0.6
"238",238,"2010-07-31","Gibraltar Point Beach",8,"NW",14,"No",NA,19,NA,"LOW","None",1.4
"239",239,"2010-08-01","Gibraltar Point Beach",8,"NE",18,"Yes",0,18,25,"MOD","Murky",2.6
"240",240,"2010-08-02","Gibraltar Point Beach",4,"N",19,"No",NA,19.5,NA,"LOW","cloudy",4.8
