"","tfs_alarm_time","tfs_arrival_time","area_of_origin","civilian_casualties","estimated_dollar_loss","extent_of_fire","fire_alarm_system_presence","ignition_source","smoke_alarm_at_fire_origin","sprinkler_system_operation"
"41","2018-03-09T10:53:06","2018-03-09T10:59:15","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",2,1500,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","55 - Candle","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"42","2018-03-09T16:30:13","2018-03-09T16:33:45","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1,15000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire"
"43","2018-03-09T21:43:18","2018-03-09T21:50:05","24 - Cooking Area or Kitchen",0,10000,"4 - Spread beyond room of origin, same floor","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"44","2018-04-05T21:08:56","2018-04-05T21:12:22","24 - Cooking Area or Kitchen",0,50000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"45","2018-04-06T20:51:45","2018-04-06T20:56:38","24 - Cooking Area or Kitchen",0,2000,"4 - Spread beyond room of origin, same floor","1 -  Fire alarm system present","12 - Oven","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire"
"46","2018-02-26T18:55:51","2018-02-26T18:59:40","51 - Elevator (includes shaft)",0,10000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","84 - Other Mechanical","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire"
"47","2018-02-26T20:07:30","2018-02-26T20:11:55","46 - Product Storage (inc products or materials awaiting manuf, assembly)",1,3000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","93 - Hot Ashes, Embers, Spark","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present"
"48","2018-02-26T22:52:39","2018-02-26T22:55:23","11 - Lobby, Entranceway",0,3e+06,"7 - Spread to other floors, confined to building","1 -  Fire alarm system present","52 - Florescent Lamp (includes ballast)","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated"
"49","2018-02-27T06:20:59","2018-02-27T06:30:40","28 - Office",0,10000,"3 - Spread to entire room of origin","1 -  Fire alarm system present","20 - Service/Utility Lines (includes power/hydro transmission lines)","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated"
"50","2018-02-27T11:11:15","2018-02-27T11:16:48","33 - Laboratory",1,2000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","64 - Chemical Processing Equipment (eg. reactors, distilling units, e","3 - Floor/suite of fire origin: Smoke alarm present did not operate","2 - Did not activate: remote from fire"
"51","2018-01-19T20:25:29","2018-01-19T20:31:56","81 - Engine Area",0,1000,"1 - Confined to object of origin","1 -  Fire alarm system present","84 - Other Mechanical","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present"
"52","2018-03-05T06:12:03","2018-03-05T06:18:30","27 - Laundry Area",0,3000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","43 - Clothes Dryer","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"53","2018-01-02T01:00:09","2018-01-02T01:07:18","24 - Cooking Area or Kitchen",0,600,"1 - Confined to object of origin","2 - No Fire alarm system","12 - Oven","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","8 - Not applicable - no sprinkler system present"
"54","2018-02-20T05:31:24","2018-02-20T05:37:37","21 - Living Area (e.g. living, TV, recreation, etc)",2,50000,"1 - Confined to object of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"55","2018-02-20T08:48:10","2018-02-20T08:52:15","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,3000,"1 - Confined to object of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated"
"56","2018-02-20T23:07:19","2018-02-20T23:11:31","24 - Cooking Area or Kitchen",0,200,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire"
"57","2018-03-12T17:44:01","2018-03-12T17:46:46","24 - Cooking Area or Kitchen",0,800,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","8 - Not applicable - no sprinkler system present"
"58","2018-03-12T19:15:11","2018-03-12T19:19:54","25 - Washroom or Bathroom (toilet,restroom/locker room)",1,100,"1 - Confined to object of origin","1 -  Fire alarm system present","88 - Multiple Ignition Source or Igniting Equipment (suspected arson)","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system"
"59","2018-03-13T18:38:43","2018-03-13T18:43:11","64 - Porch or Balcony",0,300,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","3 - Floor/suite of fire origin: Smoke alarm present did not operate","2 - Did not activate: remote from fire"
"60","2018-01-08T07:09:06","2018-01-08T07:14:20","52 - HVAC Equipment Room (furnace room, water heater closet, boiler)",0,25000,"1 - Confined to object of origin","1 -  Fire alarm system present","41 - Other Heating Equipment","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"61","2018-01-06T11:59:53","2018-01-06T12:05:25","55 - Mechanical/Electrical Services Room",0,2500,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","83 - Other Electrical","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"62","2018-01-06T12:30:04","2018-01-06T12:34:51","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,5000,"1 - Confined to object of origin","2 - No Fire alarm system","75 - Matches (open flame)","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"63","2018-03-19T03:54:22","2018-03-19T03:58:59","12 - Hallway, Corridor",0,20,"1 - Confined to object of origin","1 -  Fire alarm system present","77 - Matches or Lighters (unable to distinguish)","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system"
"64","2018-03-19T12:41:23","2018-03-19T12:45:35","64 - Porch or Balcony",0,4000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"65","2018-03-19T16:29:17","2018-03-19T16:34:59","64 - Porch or Balcony",0,2500,"1 - Confined to object of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present"
"66","2018-04-10T19:38:00","2018-04-10T19:41:47","24 - Cooking Area or Kitchen",0,5000,"1 - Confined to object of origin","1 -  Fire alarm system present","12 - Oven","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire"
"67","2018-01-30T18:41:22","2018-01-30T18:48:10","24 - Cooking Area or Kitchen",0,2500,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"68","2018-01-30T09:55:53","2018-01-30T10:01:20","24 - Cooking Area or Kitchen",0,3000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","12 - Oven","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire"
"69","2018-03-15T19:37:57","2018-03-15T19:42:21","25 - Washroom or Bathroom (toilet,restroom/locker room)",0,1000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","79 - Other Open Flame Tools/Smokers' Articles","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"70","2018-02-04T06:01:19","2018-02-04T06:06:14","24 - Cooking Area or Kitchen",0,200,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","16 - Deep Fat Fryer","3 - Floor/suite of fire origin: Smoke alarm present did not operate","2 - Did not activate: remote from fire"
"71","2018-01-26T07:50:04","2018-01-26T07:54:21","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,8000,"1 - Confined to object of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated"
"72","2018-01-25T17:24:44","2018-01-25T17:28:25","44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,1e+05,"4 - Spread beyond room of origin, same floor","2 - No Fire alarm system","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present"
"73","2018-04-16T06:35:47","2018-04-16T06:41:05","30 - Sales, Showroom Area",0,10000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","59 - Other Lighting Equipment","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"74","2018-04-17T00:20:03","2018-04-17T00:24:17","42 - Garage",1,5000,"1 - Confined to object of origin","2 - No Fire alarm system","49 - Other Appliances","1 - Floor/suite of fire origin: No smoke alarm","1 - Sprinkler system activated"
"75","2018-04-17T16:05:00","2018-04-17T16:08:12","21 - Living Area (e.g. living, TV, recreation, etc)",0,200,"1 - Confined to object of origin","1 -  Fire alarm system present","55 - Candle","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system"
"76","2018-01-21T07:56:43","2018-01-21T08:02:07","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1,3000,"1 - Confined to object of origin","2 - No Fire alarm system","55 - Candle","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"77","2018-03-23T18:59:03","2018-03-23T19:04:03","31 - Process Manufacturing (inc manf, prod assembly, repair)",0,2e+05,"1 - Confined to object of origin","1 -  Fire alarm system present","41 - Other Heating Equipment","1 - Floor/suite of fire origin: No smoke alarm","3 - Did not activate: fire too small to trigger system"
"78","2018-02-09T15:48:48","2018-02-09T15:52:06","50 - Basement/cellar (not partitioned)",0,5000,"1 - Confined to object of origin","1 -  Fire alarm system present","23 - Distribution Equipment (includes panel boards, fuses, circuit br","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"79","2018-02-09T19:19:07","2018-02-09T19:26:26","24 - Cooking Area or Kitchen",1,8000,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system"
"80","2018-02-12T11:34:34","2018-02-12T11:40:45","81 - Engine Area",0,50000,"1 - Confined to object of origin","1 -  Fire alarm system present","82 - Vehicle - Mechanical","1 - Floor/suite of fire origin: No smoke alarm","1 - Sprinkler system activated"
"81","2018-04-02T16:05:48","2018-04-02T16:10:10","24 - Cooking Area or Kitchen",0,1e+05,"4 - Spread beyond room of origin, same floor","2 - No Fire alarm system","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"82","2018-04-22T15:01:36","2018-04-22T15:07:24","61 - Exterior Wall",0,200,"1 - Confined to object of origin","2 - No Fire alarm system","79 - Other Open Flame Tools/Smokers' Articles","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present"
"83","2018-04-22T16:08:39","2018-04-22T16:11:50","30 - Sales, Showroom Area",0,20000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","76 - Lighters (open flame)","3 - Floor/suite of fire origin: Smoke alarm present did not operate","3 - Did not activate: fire too small to trigger system"
"84","2018-02-27T12:24:59","2018-02-27T12:30:53","24 - Cooking Area or Kitchen",0,1500,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","8 - Not applicable - no sprinkler system present"
"85","2018-01-10T07:24:26","2018-01-10T07:29:36","24 - Cooking Area or Kitchen",0,2000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","11 - Stove, Range-top burner","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present"
"86","2018-01-12T09:24:32","2018-01-12T09:29:50","27 - Laundry Area",0,100,"1 - Confined to object of origin","2 - No Fire alarm system","41 - Other Heating Equipment","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present"
"87","2018-01-23T19:22:33","2018-01-23T19:25:29","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,500,"1 - Confined to object of origin","2 - No Fire alarm system","75 - Matches (open flame)","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"88","2018-03-15T00:53:53","2018-03-15T00:59:33","27 - Laundry Area",0,1e+05,"4 - Spread beyond room of origin, same floor","2 - No Fire alarm system","43 - Clothes Dryer","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","8 - Not applicable - no sprinkler system present"
"89","2018-03-15T03:27:36","2018-03-15T03:33:40","27 - Laundry Area",1,500,"1 - Confined to object of origin","2 - No Fire alarm system","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"90","2018-03-20T06:46:55","2018-03-20T06:50:58","13 - Stairway, Escalator",0,400,"1 - Confined to object of origin","1 -  Fire alarm system present","30 - Other Electrical Distribution Item","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system"
"91","2018-03-20T08:50:15","2018-03-20T08:55:11","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1,1e+05,"4 - Spread beyond room of origin, same floor","2 - No Fire alarm system","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present"
"92","2018-03-20T23:23:56","2018-03-20T23:29:16","66 - Concealed Ceiling Area",0,1e+05,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","83 - Other Electrical","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"93","2018-03-22T11:54:59","2018-03-22T11:59:20","64 - Porch or Balcony",0,20000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"94","2018-01-29T19:01:23","2018-01-29T19:06:54","24 - Cooking Area or Kitchen",0,25000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","1 - Floor/suite of fire origin: No smoke alarm","2 - Did not activate: remote from fire"
"95","2018-01-29T14:18:34","2018-01-29T14:24:29","24 - Cooking Area or Kitchen",0,15000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","77 - Matches or Lighters (unable to distinguish)","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present"
"96","2018-01-31T07:55:33","2018-01-31T08:01:12","24 - Cooking Area or Kitchen",0,10000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
