tfs_alarm_time,tfs_arrival_time,area_of_origin,civilian_casualties,estimated_dollar_loss,extent_of_fire,fire_alarm_system_presence,ignition_source,smoke_alarm_at_fire_origin,sprinkler_system_operation,time_diff
2018-03-16T08:22:48Z,2018-03-16T08:26:44Z,49,0,10000,2 ,N,71,PO,N,3.93333333333333
2018-03-21T19:20:41Z,2018-03-21T19:25:15Z,25,0,1000,2 ,P,59,PO,P,4.56666666666667
2018-03-21T22:25:50Z,2018-03-21T22:30:34Z,25,0,10000,2 ,P,71,PO,PO,4.73333333333333
2018-01-31T17:00:19Z,2018-01-31T17:05:54Z,44,1,0,2 ,P,93,PO,PO,5.58333333333333
2018-02-01T00:46:45Z,2018-02-01T00:49:30Z,22,0,20,1 ,P,55,P,P,2.75
2018-02-01T09:47:03Z,2018-02-01T09:49:53Z,56,0,75000,10,P,93,PO,P,2.83333333333333
2018-01-29T03:29:55Z,2018-01-29T03:34:39Z,13,0,300,2 ,P,71,PO,N,4.73333333333333
2018-02-23T00:12:34Z,2018-02-23T00:20:58Z,42,0,75000,2 ,N,77,N,PO,8.4
2018-02-23T00:45:07Z,2018-02-23T00:54:10Z,24,0,100,1 ,N,26,PO,N,9.05
2018-03-25T00:43:36Z,2018-03-25T00:48:37Z,42,0,20000,2 ,N,17,N,N,5.01666666666667
2018-03-25T14:20:34Z,2018-03-25T14:23:34Z,24,0,5000,2 ,P,11,PO,P,3
2018-01-19T12:02:13Z,2018-01-19T12:04:53Z,55,0,25000,1 ,N,23,N,P,2.66666666666667
2018-01-22T23:59:37Z,2018-01-23T00:05:15Z,24,0,1000,1 ,P,12,PO,N,5.63333333333333
2018-01-19T15:26:49Z,2018-01-19T15:32:12Z,24,0,8000,2 ,P,11,PO,P,5.38333333333333
2018-01-23T23:27:34Z,2018-01-23T23:31:49Z,22,0,0,1 ,P,71,PO,P,4.25
2018-01-06T20:32:50Z,2018-01-06T20:37:38Z,46,0,50000,2 ,P,44,PO,PO,4.8
2018-01-07T01:00:15Z,2018-01-07T01:05:37Z,24,0,0,1 ,P,12,N,P,5.36666666666667
2018-01-07T03:05:57Z,2018-01-07T03:10:45Z,24,0,0,1 ,P,12,N,P,4.8
2018-01-08T00:20:41Z,2018-01-08T00:28:07Z,42,0,5000,2 ,P,34,N,N,7.43333333333333
2018-02-12T07:12:24Z,2018-02-12T07:20:24Z,27,0,10000,2 ,P,43,PO,PO,8
2018-02-12T15:46:33Z,2018-02-12T15:51:48Z,55,0,10000,2 ,N,20,N,P,5.25
2018-02-22T18:37:36Z,2018-02-22T18:44:07Z,21,0,100000,3 ,P,51,PO,N,6.51666666666667
2018-03-05T07:41:27Z,2018-03-05T07:46:32Z,21,1,1000,1 ,P,55,PO,P,5.08333333333333
2018-03-05T14:38:32Z,2018-03-05T14:43:10Z,24,0,2500,2 ,P,77,P,N,4.63333333333333
2018-03-10T13:43:49Z,2018-03-10T13:47:59Z,12,0,3000,2 ,N,55,PO,N,4.16666666666667
2018-03-11T09:24:41Z,2018-03-11T09:28:36Z,24,0,1000,1 ,P,16,PO,N,3.91666666666667
2018-04-04T12:31:25Z,2018-04-04T12:38:04Z,83,0,250000,1 ,P,21,N,P,6.65
2018-04-04T20:18:35Z,2018-04-04T20:24:47Z,22,0,500,2 ,P,71,PO,N,6.2
2018-04-09T00:40:11Z,2018-04-09T00:45:15Z,24,0,3000,1 ,N,15,PO,N,5.06666666666667
2018-04-13T11:50:02Z,2018-04-13T11:53:56Z,33,0,50000,2 ,P,47,PO,PO,3.9
2018-04-13T19:16:34Z,2018-04-13T19:21:03Z,64,0,10,2 ,P,71,P,P,4.48333333333333
2018-04-14T00:55:15Z,2018-04-14T01:01:19Z,27,1,300000,7 ,N,49,N,N,6.06666666666667
2018-04-14T01:48:34Z,2018-04-14T01:54:06Z,64,0,2000,1 ,P,71,P,P,5.53333333333333
2018-04-20T06:17:31Z,2018-04-20T06:22:13Z,28,0,5000,2 ,P,23,PO,PO,4.7
2018-04-21T10:13:42Z,2018-04-21T10:17:53Z,64,1,50000,4 ,P,71,PO,P,4.18333333333333
2018-04-20T10:58:56Z,2018-04-20T11:03:26Z,21,0,25000,2 ,N,28,N,N,4.5
2018-04-20T22:45:26Z,2018-04-20T22:51:43Z,24,0,5000,2 ,P,11,N,N,6.28333333333333
2018-04-24T11:01:12Z,2018-04-24T11:06:26Z,13,0,75000,2 ,P,76,PO,N,5.23333333333333
2018-04-24T15:07:31Z,2018-04-24T15:12:33Z,24,0,20000,2 ,P,11,PO,N,5.03333333333333
2018-04-24T22:27:32Z,2018-04-24T22:31:56Z,55,0,2000,1 ,P,83,PO,P,4.4
2018-04-28T08:39:20Z,2018-04-28T08:44:16Z,24,1,40000,2 ,P,11,N,N,4.93333333333333
2018-04-29T03:34:02Z,2018-04-29T03:40:48Z,92,0,750000,4 ,P,88,P,N,6.76666666666667
2018-05-01T17:40:42Z,2018-05-01T17:44:40Z,21,0,90000,3 ,P,19,P,N,3.96666666666667
2018-05-01T17:52:41Z,2018-05-01T17:55:25Z,24,0,200,2 ,P,71,P,P,2.73333333333333
2018-05-01T21:08:11Z,2018-05-01T21:11:57Z,24,0,500,2 ,P,11,PO,PO,3.76666666666667
2018-05-03T10:44:47Z,2018-05-03T10:50:19Z,44,0,100,1 ,P,42,PO,P,5.53333333333333
2018-05-03T14:15:46Z,2018-05-03T14:16:39Z,55,0,5000,2 ,P,23,PO,P,0.883333333333333
2018-05-12T16:52:48Z,2018-05-12T16:56:36Z,68,0,250000,4 ,P,24,P,N,3.8
2018-05-14T19:25:08Z,2018-05-14T19:29:41Z,41,0,10000,2 ,P,71,PO,N,4.55
2018-05-17T20:45:48Z,2018-05-17T20:51:18Z,24,0,0,1 ,P,16,P,P,5.5
2018-05-18T13:09:17Z,2018-05-18T13:12:38Z,24,0,1500,2 ,P,12,P,N,3.35
2018-05-21T07:04:09Z,2018-05-21T07:07:26Z,24,0,500,1 ,P,11,N,PO,3.28333333333333
2018-05-23T20:07:17Z,2018-05-23T20:11:32Z,72,0,0,2 ,P,71,PO,P,4.25
2018-05-27T15:05:00Z,2018-05-27T15:10:27Z,84,1,10000,1 ,N,72,N,N,5.45
2018-05-27T19:15:58Z,2018-05-27T19:20:15Z,42,0,5000,1 ,P,79,P,N,4.28333333333333
2018-05-28T17:00:26Z,2018-05-28T17:04:08Z,24,1,30000,2 ,P,11,P,P,3.7
2018-06-11T18:58:04Z,2018-06-11T19:01:48Z,64,0,4000,1 ,P,71,P,P,3.73333333333333
2018-06-11T21:41:01Z,2018-06-11T21:47:30Z,24,0,500,1 ,P,12,PO,N,6.48333333333333
2018-06-12T00:28:57Z,2018-06-12T00:35:05Z,61,0,100,1 ,N,79,P,N,6.13333333333333
2018-06-13T13:26:26Z,2018-06-13T13:32:14Z,13,0,100000,7 ,N,77,N,N,5.8
2018-06-15T22:49:10Z,2018-06-15T22:52:51Z,29,0,5000,1 ,P,21,PO,P,3.68333333333333
2018-06-14T14:38:51Z,2018-06-14T14:42:04Z,64,0,25,1 ,P,71,P,P,3.21666666666667
2018-06-18T10:25:57Z,2018-06-18T10:30:16Z,39,0,0,1 ,P,62,N,P,4.31666666666667
2018-06-18T19:08:02Z,2018-06-18T19:11:25Z,24,1,60000,3 ,P,11,PO,N,3.38333333333333
2018-06-21T12:49:33Z,2018-06-21T12:56:54Z,55,0,25000,2 ,P,23,N,P,7.35
2018-06-24T11:07:23Z,2018-06-24T11:09:46Z,26,0,0,1 ,P,41,PO,N,2.38333333333333
2018-07-01T11:26:12Z,2018-07-01T11:28:03Z,24,2,0,2 ,P,11,P,N,1.85
2018-07-01T21:26:56Z,2018-07-01T21:30:59Z,24,0,100,1 ,P,11,PO,N,4.05
2018-07-02T00:22:16Z,2018-07-02T00:24:32Z,22,0,3000,2 ,P,79,PO,N,2.26666666666667
2018-07-04T17:21:04Z,2018-07-04T17:26:52Z,64,0,100,1 ,P,71,PO,P,5.8
2018-07-08T04:08:50Z,2018-07-08T04:13:54Z,22,8,125000,4 ,P,77,PO,N,5.06666666666667
2018-07-12T12:29:11Z,2018-07-12T12:31:09Z,79,0,8000,2 ,N,92,N,N,1.96666666666667
2018-07-12T15:06:28Z,2018-07-12T15:11:41Z,12,0,250,1 ,P,77,PO,P,5.21666666666667
2018-07-12T17:15:37Z,2018-07-12T17:18:46Z,64,0,100000,4 ,P,14,PO,N,3.15
2018-07-16T16:40:41Z,2018-07-16T16:45:57Z,44,0,0,1 ,P,72,N,P,5.26666666666667
2018-07-17T07:41:52Z,2018-07-17T07:46:25Z,44,0,15000,1 ,P,83,N,PO,4.55
2018-07-20T19:44:50Z,2018-07-20T19:47:34Z,24,0,5000,2 ,P,11,PO,N,2.73333333333333
2018-08-01T02:34:08Z,2018-08-01T02:42:56Z,60,0,10000,1 ,P,23,PO,N,8.8
2018-08-01T10:43:54Z,2018-08-01T10:47:25Z,21,0,2500,2 ,P,83,PO,N,3.51666666666667
2018-08-01T19:44:19Z,2018-08-01T19:48:33Z,22,0,100000,3 ,N,35,N,N,4.23333333333333
2018-08-05T17:59:49Z,2018-08-05T18:04:32Z,62,0,5000,1 ,P,24,PO,N,4.71666666666667
2018-08-06T12:12:12Z,2018-08-06T12:17:47Z,55,0,100000,1 ,P,30,PO,N,5.58333333333333
2018-08-09T09:19:09Z,2018-08-09T09:24:51Z,12,0,0,1 ,P,77,PO,P,5.7
2018-08-10T13:37:11Z,2018-08-10T13:40:35Z,24,0,500,2 ,P,11,P,N,3.4
2018-08-14T16:29:01Z,2018-08-14T16:33:10Z,12,0,100000,2 ,N,23,PO,N,4.15
2018-08-14T18:07:22Z,2018-08-14T18:11:16Z,24,0,7500,2 ,P,11,N,P,3.9
2018-08-15T15:04:08Z,2018-08-15T15:06:50Z,68,0,50000,11,N,73,P,N,2.7
2018-08-16T00:23:00Z,2018-08-16T00:27:32Z,11,0,200,2 ,P,55,PO,N,4.53333333333333
2018-08-17T19:14:09Z,2018-08-17T19:19:56Z,21,0,500,2 ,P,19,P,P,5.78333333333333
2018-08-18T06:47:46Z,2018-08-18T06:53:36Z,55,0,10000,2 ,P,23,PO,P,5.83333333333333
2018-08-18T18:07:54Z,2018-08-18T18:12:20Z,21,0,20000,2 ,P,49,PO,N,4.43333333333333
2018-08-18T18:23:52Z,2018-08-18T18:28:48Z,55,0,100000,1 ,P,21,P,PO,4.93333333333333
2018-08-30T17:46:35Z,2018-08-30T17:50:35Z,24,0,4000,2 ,P,12,PO,N,4
2018-08-31T11:13:04Z,2018-08-31T11:18:13Z,24,1,35000,2 ,P,11,PO,N,5.15
2018-09-03T02:39:14Z,2018-09-03T02:43:40Z,44,0,500,2 ,P,71,PO,PO,4.43333333333333
2018-09-04T19:05:45Z,2018-09-04T19:10:57Z,22,0,25000,2 ,N,55,P,N,5.2
2018-09-04T11:26:08Z,2018-09-04T11:31:14Z,24,1,25000,2 ,P,11,PO,N,5.1
2018-09-04T16:40:55Z,2018-09-04T16:44:09Z,60,0,0,2 ,P,71,N,P,3.23333333333333
2018-09-04T17:30:00Z,2018-09-04T17:31:44Z,73,0,10000,1 ,N,81,N,N,1.73333333333333
2018-09-08T07:11:19Z,2018-09-08T07:15:34Z,62,0,250000,9 ,N,71,N,N,4.25
2018-09-08T13:26:14Z,2018-09-08T13:30:49Z,27,0,2500,2 ,P,43,PO,P,4.58333333333333
2018-09-08T18:39:26Z,2018-09-08T18:45:19Z,44,0,500,1 ,P,71,N,P,5.88333333333333
2018-09-12T19:10:08Z,2018-09-12T19:14:37Z,31,0,25000,1 ,P,62,PO,N,4.48333333333333
2018-09-13T13:31:16Z,2018-09-13T13:35:32Z,55,0,15000,2 ,P,20,PO,P,4.26666666666667
2018-09-15T16:31:04Z,2018-09-15T16:34:19Z,24,0,10000,2 ,P,11,PO,P,3.25
2018-09-16T02:36:05Z,2018-09-16T02:41:12Z,50,0,300000,2 ,N,43,N,N,5.11666666666667
2018-09-17T11:08:20Z,2018-09-17T11:14:01Z,24,0,40000,2 ,P,11,PO,N,5.68333333333333
2018-09-17T12:45:03Z,2018-09-17T12:49:24Z,44,0,0,2 ,P,71,PO,PO,4.35
2018-09-19T08:27:31Z,2018-09-19T08:34:21Z,23,0,20000,2 ,P,49,PO,N,6.83333333333333
2018-09-19T15:33:05Z,2018-09-19T15:35:35Z,44,0,0,1 ,P,77,PO,N,2.5
2018-09-19T19:31:51Z,2018-09-19T19:36:43Z,24,0,500,1 ,P,11,PO,PO,4.86666666666667
2018-09-23T07:28:23Z,2018-09-23T07:32:24Z,53,0,0,1 ,P,36,P,N,4.01666666666667
2018-09-23T15:00:12Z,2018-09-23T15:02:56Z,64,0,100000,4 ,N,71,P,N,2.73333333333333
2018-09-28T12:14:24Z,2018-09-28T12:21:22Z,31,0,20000,1 ,P,69,PO,PO,6.96666666666667
2018-09-28T16:16:29Z,2018-09-28T16:21:27Z,24,1,500,1 ,P,11,PO,P,4.96666666666667
2018-10-01T18:09:17Z,2018-10-01T18:14:41Z,24,1,50000,2 ,P,11,PO,N,5.4
2018-10-01T18:27:17Z,2018-10-01T18:31:36Z,24,0,15000,2 ,P,11,PO,P,4.31666666666667
2018-10-02T07:28:12Z,2018-10-02T07:31:06Z,24,0,0,1 ,P,19,PO,P,2.9
2018-10-02T12:44:58Z,2018-10-02T12:48:06Z,12,0,5000,1 ,P,23,PO,N,3.13333333333333
2018-10-02T15:04:40Z,2018-10-02T15:08:34Z,24,0,10000,2 ,P,11,PO,P,3.9
2018-10-05T07:28:54Z,2018-10-05T07:33:06Z,79,0,5000,1 ,P,93,N,P,4.2
2018-10-05T12:44:03Z,2018-10-05T12:46:51Z,22,0,60000,3 ,P,55,PO,P,2.8
2018-10-05T19:42:02Z,2018-10-05T19:46:09Z,72,2,0,2 ,P,92,N,N,4.11666666666667
2018-10-10T16:44:43Z,2018-10-10T16:49:45Z,44,0,500,2 ,P,71,PO,PO,5.03333333333333
2018-10-09T20:55:56Z,2018-10-09T20:59:32Z,24,0,10000,1 ,P,11,PO,P,3.6
2018-10-11T18:18:38Z,2018-10-11T18:25:18Z,24,0,5000,2 ,N,11,PO,N,6.66666666666667
2018-10-14T12:26:51Z,2018-10-14T12:31:31Z,83,0,50000,2 ,P,20,P,P,4.66666666666667
2018-10-14T12:50:20Z,2018-10-14T12:52:57Z,22,0,6000,3 ,P,71,PO,N,2.61666666666667
2018-10-14T18:25:43Z,2018-10-14T18:32:49Z,81,1,5000,2 ,N,81,N,PO,7.1
2018-10-18T18:57:36Z,2018-10-18T19:01:07Z,24,0,0,1 ,P,11,PO,P,3.51666666666667
2018-10-18T22:06:16Z,2018-10-18T22:13:35Z,42,0,2000,2 ,N,73,N,P,7.31666666666667
2018-10-19T03:24:03Z,2018-10-19T03:30:13Z,68,0,30000,2 ,P,37,PO,N,6.16666666666667
2018-10-19T06:13:21Z,2018-10-19T06:16:23Z,64,0,5000,2 ,P,71,P,P,3.03333333333333
2018-10-23T13:39:57Z,2018-10-23T13:43:28Z,24,0,85000,3 ,P,11,P,N,3.51666666666667
2018-10-27T04:26:01Z,2018-10-27T04:29:18Z,22,1,100,2 ,P,71,PO,P,3.28333333333333
2018-10-27T05:06:15Z,2018-10-27T05:11:41Z,22,0,50000,2 ,N,20,N,N,5.43333333333333
2018-10-27T12:32:40Z,2018-10-27T12:36:07Z,44,0,100,2 ,P,71,PO,PO,3.45
