"","tfs_alarm_time","tfs_arrival_time","area_of_origin","civilian_casualties","estimated_dollar_loss","extent_of_fire","fire_alarm_system_presence","ignition_source","smoke_alarm_at_fire_origin","sprinkler_system_operation","time_diff"
"14",2018-01-23 13:57:34,2018-01-23 14:00:23,"52 - HVAC Equipment Room (furnace room, water heater closet, boiler)",0,10000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","41 - Other Heating Equipment","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",2.81666666666667
"15",2018-02-02 12:46:43,2018-02-02 12:50:54,"61 - Exterior Wall",0,0,"1 - Confined to object of origin","2 - No Fire alarm system","72 - Cutting/Welding Equipment","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",4.18333333333333
"16",2018-02-02 16:35:34,2018-02-02 16:41:28,"24 - Cooking Area or Kitchen",0,30000,"3 - Spread to entire room of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire",5.9
"17",2018-02-02 19:23:14,2018-02-02 19:28:18,"24 - Cooking Area or Kitchen",0,1000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",5.06666666666667
"18",2018-01-26 12:16:21,2018-01-26 12:21:59,"62 - Roof",0,100,"1 - Confined to object of origin","1 -  Fire alarm system present","73 - Blow Torch, Bunsen Burner","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present",5.63333333333333
"19",2018-02-03 14:15:29,2018-02-03 14:21:51,"24 - Cooking Area or Kitchen",0,5000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",6.36666666666667
"20",2018-01-16 11:14:44,2018-01-16 11:19:00,"12 - Hallway, Corridor",0,1000,"1 - Confined to object of origin","1 -  Fire alarm system present","73 - Blow Torch, Bunsen Burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire",4.26666666666667
"21",2018-01-18 18:56:04,2018-01-18 19:01:38,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,10000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","55 - Candle","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","8 - Not applicable - no sprinkler system present",5.56666666666667
"22",2018-01-19 06:54:16,2018-01-19 06:58:05,"21 - Living Area (e.g. living, TV, recreation, etc)",0,60000,"3 - Spread to entire room of origin","1 -  Fire alarm system present","29 - Extension Cord, Temporary Wiring","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present",3.81666666666667
"23",2018-01-20 18:06:28,2018-01-20 18:10:04,"24 - Cooking Area or Kitchen",1,0,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system",3.6
"24",2018-03-30 13:03:30,2018-03-30 13:09:37,"79 - Other Outside Area",0,50000,"9 - Confined to roof/exterior structure","1 -  Fire alarm system present","14 - Open Fired Barbeque - Fixed or Portable","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",6.11666666666667
"25",2018-03-30 23:39:09,2018-03-30 23:43:45,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,5000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",4.6
"26",2018-01-05 14:06:44,2018-01-05 14:11:13,"53 - Chimney/Flue Pipe",0,150000,"3 - Spread to entire room of origin","2 - No Fire alarm system","36 - Fireplace - Masonry","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",4.48333333333333
"27",2018-01-06 21:06:45,2018-01-06 21:11:01,"25 - Washroom or Bathroom (toilet,restroom/locker room)",0,20000,"1 - Confined to object of origin","1 -  Fire alarm system present","77 - Matches or Lighters (unable to distinguish)","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system",4.26666666666667
"28",2018-01-19 10:14:50,2018-01-19 10:20:07,"26 - Sauna",0,100,"1 - Confined to object of origin","1 -  Fire alarm system present","41 - Other Heating Equipment","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",5.28333333333333
"29",2018-01-12 15:36:54,2018-01-12 15:46:15,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,500,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","55 - Candle","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",9.35
"30",2018-02-09 06:08:34,2018-02-09 06:12:58,"24 - Cooking Area or Kitchen",0,1000,"1 - Confined to object of origin","1 -  Fire alarm system present","83 - Other Electrical","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",4.4
"31",2018-02-15 23:06:52,2018-02-15 23:12:25,"24 - Cooking Area or Kitchen",0,1e+05,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",5.55
"32",2018-02-16 13:29:28,2018-02-16 13:33:11,"24 - Cooking Area or Kitchen",0,500,"1 - Confined to object of origin","1 -  Fire alarm system present","12 - Oven","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",3.71666666666667
"33",2018-02-16 18:44:52,2018-02-16 18:49:44,"24 - Cooking Area or Kitchen",0,8000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire",4.86666666666667
"34",2018-02-16 18:45:29,2018-02-16 18:50:40,"24 - Cooking Area or Kitchen",0,2500,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",5.18333333333333
"35",2018-02-18 17:19:28,2018-02-18 17:22:49,"24 - Cooking Area or Kitchen",0,3000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",3.35
"36",2018-03-08 17:06:39,2018-03-08 17:09:09,"24 - Cooking Area or Kitchen",0,30000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",2.5
"37",2018-03-08 18:47:21,2018-03-08 18:53:15,"67 - Concealed Floor Area",0,20000,"7 - Spread to other floors, confined to building","2 - No Fire alarm system","72 - Cutting/Welding Equipment","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",5.9
"38",2018-03-13 20:03:17,2018-03-13 20:08:17,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",5
"39",2018-03-14 15:01:55,2018-03-14 15:06:14,"58 - Ducting - Exhaust (inc cooking, fumes, etc.)",0,20000,"4 - Spread beyond room of origin, same floor","1 -  Fire alarm system present","72 - Cutting/Welding Equipment","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",4.31666666666667
"40",2018-03-08 23:11:25,2018-03-08 23:16:30,"29 - Electronic Equipment",0,10000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","19 - Other Cooking Items (eg Toaster, Kettle, elec frying pan)","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",5.08333333333333
"41",2018-03-09 10:53:06,2018-03-09 10:59:15,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",2,1500,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","55 - Candle","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",6.15
"42",2018-03-09 16:30:13,2018-03-09 16:33:45,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1,15000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire",3.53333333333333
"43",2018-03-09 21:43:18,2018-03-09 21:50:05,"24 - Cooking Area or Kitchen",0,10000,"4 - Spread beyond room of origin, same floor","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",6.78333333333333
"44",2018-04-05 21:08:56,2018-04-05 21:12:22,"24 - Cooking Area or Kitchen",0,50000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",3.43333333333333
"45",2018-04-06 20:51:45,2018-04-06 20:56:38,"24 - Cooking Area or Kitchen",0,2000,"4 - Spread beyond room of origin, same floor","1 -  Fire alarm system present","12 - Oven","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire",4.88333333333333
"46",2018-02-26 18:55:51,2018-02-26 18:59:40,"51 - Elevator (includes shaft)",0,10000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","84 - Other Mechanical","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire",3.81666666666667
"47",2018-02-26 20:07:30,2018-02-26 20:11:55,"46 - Product Storage (inc products or materials awaiting manuf, assembly)",1,3000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","93 - Hot Ashes, Embers, Spark","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",4.41666666666667
"48",2018-02-26 22:52:39,2018-02-26 22:55:23,"11 - Lobby, Entranceway",0,3e+06,"7 - Spread to other floors, confined to building","1 -  Fire alarm system present","52 - Florescent Lamp (includes ballast)","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated",2.73333333333333
"49",2018-02-27 06:20:59,2018-02-27 06:30:40,"28 - Office",0,10000,"3 - Spread to entire room of origin","1 -  Fire alarm system present","20 - Service/Utility Lines (includes power/hydro transmission lines)","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated",9.68333333333333
"50",2018-02-27 11:11:15,2018-02-27 11:16:48,"33 - Laboratory",1,2000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","64 - Chemical Processing Equipment (eg. reactors, distilling units, e","3 - Floor/suite of fire origin: Smoke alarm present did not operate","2 - Did not activate: remote from fire",5.55
"51",2018-01-19 20:25:29,2018-01-19 20:31:56,"81 - Engine Area",0,1000,"1 - Confined to object of origin","1 -  Fire alarm system present","84 - Other Mechanical","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",6.45
"52",2018-03-05 06:12:03,2018-03-05 06:18:30,"27 - Laundry Area",0,3000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","43 - Clothes Dryer","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",6.45
"53",2018-01-02 01:00:09,2018-01-02 01:07:18,"24 - Cooking Area or Kitchen",0,600,"1 - Confined to object of origin","2 - No Fire alarm system","12 - Oven","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","8 - Not applicable - no sprinkler system present",7.15
"54",2018-02-20 05:31:24,2018-02-20 05:37:37,"21 - Living Area (e.g. living, TV, recreation, etc)",2,50000,"1 - Confined to object of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",6.21666666666667
"55",2018-02-20 08:48:10,2018-02-20 08:52:15,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,3000,"1 - Confined to object of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated",4.08333333333333
"56",2018-02-20 23:07:19,2018-02-20 23:11:31,"24 - Cooking Area or Kitchen",0,200,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire",4.2
"57",2018-03-12 17:44:01,2018-03-12 17:46:46,"24 - Cooking Area or Kitchen",0,800,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","8 - Not applicable - no sprinkler system present",2.75
"58",2018-03-12 19:15:11,2018-03-12 19:19:54,"25 - Washroom or Bathroom (toilet,restroom/locker room)",1,100,"1 - Confined to object of origin","1 -  Fire alarm system present","88 - Multiple Ignition Source or Igniting Equipment (suspected arson)","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system",4.71666666666667
"59",2018-03-13 18:38:43,2018-03-13 18:43:11,"64 - Porch or Balcony",0,300,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","3 - Floor/suite of fire origin: Smoke alarm present did not operate","2 - Did not activate: remote from fire",4.46666666666667
"60",2018-01-08 07:09:06,2018-01-08 07:14:20,"52 - HVAC Equipment Room (furnace room, water heater closet, boiler)",0,25000,"1 - Confined to object of origin","1 -  Fire alarm system present","41 - Other Heating Equipment","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",5.23333333333333
"61",2018-01-06 11:59:53,2018-01-06 12:05:25,"55 - Mechanical/Electrical Services Room",0,2500,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","83 - Other Electrical","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",5.53333333333333
"62",2018-01-06 12:30:04,2018-01-06 12:34:51,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,5000,"1 - Confined to object of origin","2 - No Fire alarm system","75 - Matches (open flame)","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",4.78333333333333
"63",2018-03-19 03:54:22,2018-03-19 03:58:59,"12 - Hallway, Corridor",0,20,"1 - Confined to object of origin","1 -  Fire alarm system present","77 - Matches or Lighters (unable to distinguish)","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system",4.61666666666667
"64",2018-03-19 12:41:23,2018-03-19 12:45:35,"64 - Porch or Balcony",0,4000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",4.2
"65",2018-03-19 16:29:17,2018-03-19 16:34:59,"64 - Porch or Balcony",0,2500,"1 - Confined to object of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",5.7
"66",2018-04-10 19:38:00,2018-04-10 19:41:47,"24 - Cooking Area or Kitchen",0,5000,"1 - Confined to object of origin","1 -  Fire alarm system present","12 - Oven","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire",3.78333333333333
"67",2018-01-30 18:41:22,2018-01-30 18:48:10,"24 - Cooking Area or Kitchen",0,2500,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",6.8
"68",2018-01-30 09:55:53,2018-01-30 10:01:20,"24 - Cooking Area or Kitchen",0,3000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","12 - Oven","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire",5.45
"69",2018-03-15 19:37:57,2018-03-15 19:42:21,"25 - Washroom or Bathroom (toilet,restroom/locker room)",0,1000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","79 - Other Open Flame Tools/Smokers' Articles","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",4.4
"70",2018-02-04 06:01:19,2018-02-04 06:06:14,"24 - Cooking Area or Kitchen",0,200,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","16 - Deep Fat Fryer","3 - Floor/suite of fire origin: Smoke alarm present did not operate","2 - Did not activate: remote from fire",4.91666666666667
"71",2018-01-26 07:50:04,2018-01-26 07:54:21,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,8000,"1 - Confined to object of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated",4.28333333333333
"72",2018-01-25 17:24:44,2018-01-25 17:28:25,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,1e+05,"4 - Spread beyond room of origin, same floor","2 - No Fire alarm system","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",3.68333333333333
"73",2018-04-16 06:35:47,2018-04-16 06:41:05,"30 - Sales, Showroom Area",0,10000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","59 - Other Lighting Equipment","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",5.3
"74",2018-04-17 00:20:03,2018-04-17 00:24:17,"42 - Garage",1,5000,"1 - Confined to object of origin","2 - No Fire alarm system","49 - Other Appliances","1 - Floor/suite of fire origin: No smoke alarm","1 - Sprinkler system activated",4.23333333333333
"75",2018-04-17 16:05:00,2018-04-17 16:08:12,"21 - Living Area (e.g. living, TV, recreation, etc)",0,200,"1 - Confined to object of origin","1 -  Fire alarm system present","55 - Candle","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system",3.2
"76",2018-01-21 07:56:43,2018-01-21 08:02:07,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1,3000,"1 - Confined to object of origin","2 - No Fire alarm system","55 - Candle","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",5.4
"77",2018-03-23 18:59:03,2018-03-23 19:04:03,"31 - Process Manufacturing (inc manf, prod assembly, repair)",0,2e+05,"1 - Confined to object of origin","1 -  Fire alarm system present","41 - Other Heating Equipment","1 - Floor/suite of fire origin: No smoke alarm","3 - Did not activate: fire too small to trigger system",5
"78",2018-02-09 15:48:48,2018-02-09 15:52:06,"50 - Basement/cellar (not partitioned)",0,5000,"1 - Confined to object of origin","1 -  Fire alarm system present","23 - Distribution Equipment (includes panel boards, fuses, circuit br","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",3.3
"79",2018-02-09 19:19:07,2018-02-09 19:26:26,"24 - Cooking Area or Kitchen",1,8000,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system",7.31666666666667
"80",2018-02-12 11:34:34,2018-02-12 11:40:45,"81 - Engine Area",0,50000,"1 - Confined to object of origin","1 -  Fire alarm system present","82 - Vehicle - Mechanical","1 - Floor/suite of fire origin: No smoke alarm","1 - Sprinkler system activated",6.18333333333333
"81",2018-04-02 16:05:48,2018-04-02 16:10:10,"24 - Cooking Area or Kitchen",0,1e+05,"4 - Spread beyond room of origin, same floor","2 - No Fire alarm system","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",4.36666666666667
"82",2018-04-22 15:01:36,2018-04-22 15:07:24,"61 - Exterior Wall",0,200,"1 - Confined to object of origin","2 - No Fire alarm system","79 - Other Open Flame Tools/Smokers' Articles","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present",5.8
"83",2018-04-22 16:08:39,2018-04-22 16:11:50,"30 - Sales, Showroom Area",0,20000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","76 - Lighters (open flame)","3 - Floor/suite of fire origin: Smoke alarm present did not operate","3 - Did not activate: fire too small to trigger system",3.18333333333333
"84",2018-02-27 12:24:59,2018-02-27 12:30:53,"24 - Cooking Area or Kitchen",0,1500,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","8 - Not applicable - no sprinkler system present",5.9
"85",2018-01-10 07:24:26,2018-01-10 07:29:36,"24 - Cooking Area or Kitchen",0,2000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","11 - Stove, Range-top burner","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present",5.16666666666667
"86",2018-01-12 09:24:32,2018-01-12 09:29:50,"27 - Laundry Area",0,100,"1 - Confined to object of origin","2 - No Fire alarm system","41 - Other Heating Equipment","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",5.3
"87",2018-01-23 19:22:33,2018-01-23 19:25:29,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,500,"1 - Confined to object of origin","2 - No Fire alarm system","75 - Matches (open flame)","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",2.93333333333333
"88",2018-03-15 00:53:53,2018-03-15 00:59:33,"27 - Laundry Area",0,1e+05,"4 - Spread beyond room of origin, same floor","2 - No Fire alarm system","43 - Clothes Dryer","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","8 - Not applicable - no sprinkler system present",5.66666666666667
"89",2018-03-15 03:27:36,2018-03-15 03:33:40,"27 - Laundry Area",1,500,"1 - Confined to object of origin","2 - No Fire alarm system","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",6.06666666666667
"90",2018-03-20 06:46:55,2018-03-20 06:50:58,"13 - Stairway, Escalator",0,400,"1 - Confined to object of origin","1 -  Fire alarm system present","30 - Other Electrical Distribution Item","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system",4.05
"91",2018-03-20 08:50:15,2018-03-20 08:55:11,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1,1e+05,"4 - Spread beyond room of origin, same floor","2 - No Fire alarm system","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",4.93333333333333
"92",2018-03-20 23:23:56,2018-03-20 23:29:16,"66 - Concealed Ceiling Area",0,1e+05,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","83 - Other Electrical","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",5.33333333333333
